,"Provides rainwater harvesting for landscape irrigation to serve not less than 50% of the
landscaped areas."
,"Directs stormwater runoff from impervious surfaces to a landscaped area at least equal to the
total required landscape area."
,Employs other creative or innovative measures to provide environmental protection.
Austin Energy Green Building,Provides an Austin Energy Green Building Rating of three stars or above.
Art,"Provides art approved by the Art in Public Places Program in open spaces, either by providing
the art directly or by making a contribution to the City's Art in Public Places Program or a
successor program."
Great Streets,"Complies with City's Great Streets Program, or a successor program. Applicable only to
commercial, retail, or mixed-use development that is not subject to the requirements of
Chapter 25-2, Subchapter E (Design Standards and Mixed Use)."
Community Amenities,"Provides community or public amenities, which may include spaces for community meetings,
community gardens or urban farms, day care facilities, non-profit organizations, or other uses
that fulfill an identified community need."
,Provides publicly accessible multi-use trail and greenway along creek or waterway.
Transportation,"Provides bicycle facilities that connect to existing or planned bicycle routes or provides other
multi-modal transportation features not required by code."
Building Design,"Exceeds the minimum points required by the Building Design Options of Section 3.3.2. of
Chapter 25-2, Subchapter E (Design Standards and Mixed Use)."
Parking Structure Frontage,"In a commercial or mixed-use development, at least 75 percent of the building frontage of all
parking structures is designed for pedestrian-oriented uses as defined in Section 25-2-691(C)
(Waterfront Overlay District Uses) in ground floor spaces."
Affordable Housing,Provides for affordable housing or participation in programs to achieve affordable housing.
Historic Preservation,"Preserves historic structures, landmarks, or other features to a degree exceeding applicable
legal requirements."
Accessibility,"Provides for accessibility for persons with disabilities to a degree exceeding applicable legal
requirements."
Local Small Business,"Provides space at affordable rates to one or more independent retail or restaurant small
businesses whose principal place of business is within the Austin metropolitan statistical area."
