COMMERCIAL USES:,Recreational Equipment Sales
Agricultural Sale and Services,Research Assembly Services
Automotive Sales,Research Testing Services
Automotive Rentals,Research Warehousing Services
Automotive Repair Services,Scrap and Salvage
Building Maintenance Services,Service Station
Campground,Stables
Carriage Stable,Vehicle Storage
Convenience Storage,INDUSTRIAL USES:
Drop-off Recycling Collection Facility,Basic Industry
Electronic Prototype Assembly,General Warehousing and Distribution
Electronic Testing,Recycling Center
Equipment Repair Services,Resource Extraction
Equipment Sales,AGRICULTURAL USES:
Exterminating Services,Animal Production
Funeral Services,Crop Production
Marina,Indoor Crop Production
Recreational Equipment Maintenance & Storage,
