Option,Description/Comments
Group A: Each option worth 1 point,
Achieve star rating under the City of Austin Green Building program.,"Each star of the rating qualifies for one point. No double credit for
Green Building points from Group B."
Provide for liner stores in building façade. (1 point for each liner store),"See Article 5, Definitions"
Provide façade articulation.,See definition D.1. below.
Provide primary entrance design.,See definition D.2. below.
Provide roof design.,See definition D.3. below.
Provide building materials meeting the standards of this section.,See definition D.5. below.
"Improve storefronts to new regulatory standard of Section 3.2.2. for
glazing type/size and shading.","Applies only for buildings existing at the effective date of this
Subchapter."
"100% of glazing on ground-floor façades that face any street or
parking lot have a Visible Transmittance (VT) of 0.6 or higher.",
Complies with neighborhood design guidelines,Group B: Each option worth 2 points
"Design building so that at least 75% of the façade facing the principal
street consists of storefronts with at least two separate entrances
facing the principal street",
Provide sustainable roof.,See definition D.4. below.
Integrate solar power generation into building design.,"The specific features and design shall be approved by the Director.
Examples may include, but are not limited to, rooftop solar panels or
Building Integrated Photovoltaics."
Achieve Green Building rating of 2 stars.,Group C: Option worth 3 points
